order_id,order_date,ship_date,customer_id,product_id,quantity,unit_price,discount_pct,region,state,channel
O300064,2025-04-10,2025-04-17,C10492,P20075,4,64.48,0.0,Northeast,PA,Online
O300065,2024-05-22,2024-05-29,C10245,P20047,1,468.96,0.05,Northeast,MA,In-Store
O300066,2025-01-11,2025-01-16,C10433,P20156,4,85.76,0.0,Northeast,NJ,In-Store
O300067,2025-12-26,2025-12-29,C10238,P20005,1,118.98,0.1,Southwest,CO,In-Store
O300068,2023-06-23,2023-06-28,C10473,P20066,3,226.26,0.0,Southwest,CO,Partner
O300069,2023-01-29,2023-02-01,C10019,P20033,9,461.14,0.0,Midwest,MI,Online
O300070,2025-08-07,2025-08-10,C10223,P20160,3,245.95,0.0,South,GA,In-Store
O300071,2025-09-04,2025-09-10,C10069,P20011,7,424.14,0.0,West,WA,Partner
O300072,2024-02-10,2024-02-13,C10323,P20146,10,296.19,0.0,Northeast,NJ,In-Store
O300073,2024-05-15,2024-05-20,C10032,P20107,8,149.74,0.0,South,FL,In-Store
O300074,2025-05-11,2025-05-16,C10283,P20014,1,270.45,0.1,Southwest,CO,Online
O300075,2025-04-26,2025-04-27,C10338,P20166,3,138.72,0.0,Midwest,IN,In-Store
O300076,2025-09-27,2025-10-04,C10027,P20030,4,183.1,0.0,Midwest,MI,Partner
O300077,2024-09-17,2024-09-19,C10474,P20174,5,283.66,0.0,Midwest,MI,Online
O300078,2025-12-23,2025-12-24,C10469,P20027,6,111.4,0.05,West,CA,Online
O300079,2024-04-14,2024-04-16,C10062,P20044,5,178.04,0.1,Midwest,IN,Online
O300080,2025-06-23,2025-06-29,C10364,P20128,10,456.02,0.0,South,FL,In-Store
O300081,2025-03-09,2025-03-16,C10220,P20098,8,376.78,0.1,West,OR,Partner
O300082,2023-09-14,2023-09-20,C10235,P20181,4,308.16,0.15,West,WA,Online
O300083,2024-09-11,2024-09-15,C10471,P20013,2,417.2,0.1,Southwest,CO,Online
O300084,2024-09-11,2024-09-13,C10208,P20163,2,241.3,0.15,Southwest,CO,Online
O300085,2024-09-21,2024-09-24,C10338,P20070,5,351.93,0.0,Midwest,IN,Online
O300086,2023-12-05,2023-12-10,C10379,P20035,3,302.59,0.1,West,OR,In-Store
O300087,2024-01-09,2024-01-14,C10083,P20153,9,25.27,0.0,Northeast,PA,In-Store
O300088,2025-05-08,2025-05-14,C10105,P20145,4,332.06,0.0,South,FL,Online
O300089,2025-11-04,2025-11-07,C10033,P20115,4,407.88,0.2,Southwest,CO,In-Store
O300090,2025-05-27,2025-06-02,C10209,P20084,6,320.34,0.15,South,TX,In-Store
O300091,2024-08-06,2024-08-07,C10258,P20090,4,327.88,0.1,Midwest,IL,Online
O300092,2023-12-07,2023-12-09,C10400,P20142,4,426.67,0.2,West,WA,Online
O300093,2023-10-01,2023-10-07,C10443,P20095,2,116.65,0.0,South,TX,Online
O300094,2024-03-18,2024-03-19,C10411,P20031,5,201.41,0.1,Southwest,UT,Online
O300095,2024-03-25,2024-03-28,C10480,P20107,2,167.35,0.1,West,CA,Online
O300096,2024-07-20,2024-07-27,C10372,P20130,9,69.22,0.05,Northeast,NY,Online
O300097,2023-10-25,2023-10-30,C10331,P20172,5,429.95,0.05,Northeast,NJ,In-Store
O300098,2025-12-19,2025-12-20,C10243,P20063,4,461.72,0.1,Southwest,UT,Online
O300099,2025-05-07,2025-05-09,C10327,P20109,3,418.95,0.0,West,NV,Online
O300100,2023-02-08,2023-02-14,C10476,P20124,6,313.38,0.15,Midwest,OH,In-Store
O300101,2025-08-10,2025-08-14,C10412,P20055,7,464.07,0.05,Midwest,IN,In-Store
O300102,2024-11-02,2024-11-03,C10200,P20158,6,385.72,0.15,Northeast,PA,Online
O300103,2025-01-09,2025-01-10,C10214,P20020,9,474.57,0.0,Southwest,AZ,In-Store
O300104,2023-06-18,2023-06-19,C10133,P20094,3,595.77,0.05,Southwest,NM,Online
O300105,2023-10-12,2023-10-16,C10014,P20117,2,145.51,0.0,South,NC,In-Store
O300106,2023-12-11,2023-12-13,C10430,P20150,8,264.1,0.05,Southwest,NM,Partner
O300107,2024-02-27,2024-03-02,C10446,P20040,9,235.51,0.1,Northeast,CT,Partner
O300108,2023-03-31,2023-04-05,C10165,P20041,6,260.78,0.05,Southwest,UT,In-Store
O300109,2025-12-29,2025-12-30,C10495,P20113,5,125.87,0.05,South,TX,Online
O300110,2024-12-01,2024-12-04,C10075,P20109,6,418.75,0.0,Northeast,CT,Online
O300111,2025-08-14,2025-08-16,C10098,P20115,7,358.3,0.0,Northeast,CT,In-Store
O300112,2025-04-19,2025-04-24,C10476,P20025,3,101.41,0.0,Midwest,OH,In-Store
O300113,2023-03-01,2023-03-08,C10041,P20023,10,245.32,0.1,South,GA,Online
O300114,2025-06-28,2025-07-04,C10320,P20101,6,516.5,0.0,Southwest,UT,Online
O300115,2025-06-23,2025-06-29,C10306,P20181,7,317.25,0.05,Northeast,NJ,Online
O300116,2024-10-31,2024-11-01,C10023,P20011,2,445.51,0.0,Southwest,NM,Online
O300117,2023-08-18,2023-08-21,C10158,P20094,6,584.31,0.0,Northeast,NJ,In-Store
O300118,2024-11-13,2024-11-16,C10234,P20139,3,528.2,0.0,West,CA,In-Store
O300119,2025-10-25,2025-10-29,C10360,P20144,7,248.4,0.1,Northeast,NJ,Online
O300120,2025-01-19,2025-01-23,C10121,P20042,3,421.51,0.0,South,TX,Online
O300121,2024-03-25,2024-03-30,C10141,P20063,6,518.23,0.0,West,CA,In-Store
O300122,2023-01-19,2023-01-20,C10061,P20112,5,159.33,0.0,Midwest,IN,Online
O300123,2024-03-15,2024-03-18,C10490,P20190,6,233.03,0.0,South,TN,Online
O300124,2023-12-05,2023-12-08,C10378,P20060,5,760.29,0.0,West,NV,Partner
O300125,2023-04-29,2023-05-04,C10421,P20184,2,85.49,0.2,Midwest,WI,In-Store
O300126,2024-08-18,2024-08-25,C10063,P20199,8,206.9,0.0,Southwest,NM,In-Store
O300127,2024-04-04,2024-04-05,C10096,P20147,4,142.08,0.0,Northeast,PA,Partner
O300128,2024-12-31,2025-01-05,C10103,P20171,3,351.03,0.15,West,CA,In-Store
O300129,2025-02-10,2025-02-17,C10123,P20188,2,254.85,0.05,South,TN,Online
O300130,2025-06-19,2025-06-21,C10293,P20089,3,180.46,0.1,Midwest,MI,Partner
O300131,2023-01-09,2023-01-16,C10042,P20098,2,377.32,0.0,West,OR,In-Store
O300132,2024-03-26,2024-03-31,C10004,P20108,5,373.9,0.05,South,NC,Online
O300133,2024-09-08,2024-09-14,C10463,P20106,9,828.17,0.0,Southwest,AZ,Online
O300134,2025-09-28,2025-09-30,C10355,P20084,7,350.07,0.0,South,TN,In-Store
O300135,2023-07-04,2023-07-09,C10435,P20051,3,579.39,0.0,Northeast,CT,In-Store
O300136,2024-12-12,2024-12-19,C10366,P20019,10,328.27,0.0,Southwest,CO,Partner
O300137,2024-07-21,2024-07-23,C10096,P20106,4,764.84,0.0,Northeast,PA,Online
O300138,2023-06-10,2023-06-16,C10311,P20125,7,27.64,0.05,West,NV,Online
O300139,2024-08-17,2024-08-20,C10116,P20197,4,409.34,0.05,South,GA,Online
O300140,2023-08-07,2023-08-12,C10292,P20129,3,848.04,0.05,South,FL,In-Store
O300141,2024-12-17,2024-12-22,C10051,P20065,8,348.76,0.15,Southwest,UT,In-Store
O300142,2025-03-25,2025-03-26,C10141,P20004,8,95.53,0.0,West,CA,Online
O300143,2024-08-24,2024-08-31,C10025,P20186,2,566.82,0.1,Northeast,NJ,In-Store
O300144,2025-09-27,2025-10-01,C10044,P20105,9,476.14,0.05,Northeast,PA,Online
O300145,2025-12-08,2025-12-14,C10114,P20040,1,264.74,0.05,West,NV,Online
O300146,2023-03-18,2023-03-19,C10349,P20154,4,566.77,0.0,West,NV,Online
O300147,2025-04-02,2025-04-04,C10361,P20042,3,475.72,0.1,Southwest,CO,In-Store
O300148,2025-08-17,2025-08-22,C10194,P20092,8,331.8,0.0,Midwest,IL,Online
O300149,2024-03-06,2024-03-09,C10352,P20071,8,341.11,0.05,Northeast,CT,Online
O300150,2024-03-02,2024-03-04,C10389,P20189,9,355.07,0.0,Midwest,MI,In-Store
O300151,2023-03-12,2023-03-15,C10462,P20067,3,456.54,0.2,Southwest,UT,In-Store
O300152,2025-09-25,2025-09-26,C10164,P20142,4,426.2,0.0,Midwest,OH,Partner
O300153,2025-04-17,2025-04-21,C10008,P20076,5,117.21,0.2,South,NC,Online
O300154,2025-01-15,2025-01-22,C10282,P20086,8,535.53,0.0,South,FL,In-Store
O300155,2025-05-07,2025-05-12,C10031,P20158,7,412.59,0.05,West,OR,Online
O300156,2024-07-06,2024-07-08,C10455,P20090,3,310.05,0.0,Northeast,PA,In-Store
O300157,2024-02-14,2024-02-15,C10063,P20062,5,376.05,0.0,Southwest,NM,In-Store
O300158,2023-12-13,2023-12-14,C10217,P20076,6,118.36,0.1,South,TN,In-Store
O300159,2025-09-19,2025-09-24,C10321,P20170,4,254.36,0.05,Southwest,AZ,Online
O300160,2023-09-04,2023-09-05,C10357,P20120,3,300.69,0.1,Northeast,MA,Online
O300161,2023-08-13,2023-08-17,C10219,P20025,5,95.89,0.15,Northeast,NJ,In-Store
O300162,2023-07-14,2023-07-20,C10461,P20074,4,95.58,0.0,Southwest,CO,Online
O300163,2024-03-03,2024-03-08,C10251,P20186,3,529.05,0.2,Northeast,PA,Online
O300164,2025-02-12,2025-02-18,C10214,P20196,3,232.2,0.0,Southwest,AZ,In-Store
O300165,2023-07-24,2023-07-25,C10104,P20159,10,64.56,0.0,South,FL,In-Store
O300166,2023-01-06,2023-01-10,C10200,P20101,5,511.32,0.05,Northeast,PA,Online
O300167,2023-10-26,2023-10-31,C10012,P20059,2,482.63,0.0,Midwest,IL,Online
O300168,2025-01-18,2025-01-20,C10255,P20044,3,175.74,0.05,West,CA,Partner
O300169,2024-04-12,2024-04-14,C10351,P20163,10,216.22,0.0,South,TX,In-Store
O300170,2024-09-17,2024-09-23,C10311,P20094,6,635.35,0.0,West,NV,Online
O300171,2023-07-09,2023-07-13,C10298,P20112,10,157.91,0.1,Midwest,OH,In-Store
O300172,2023-03-15,2023-03-20,C10306,P20114,2,25.71,0.0,Northeast,NJ,In-Store
O300173,2024-01-23,2024-01-29,C10036,P20017,2,478.36,0.0,West,CA,Online
O300174,2025-05-07,2025-05-14,C10195,P20155,5,491.02,0.2,South,NC,Online
O300175,2025-02-21,2025-02-22,C10496,P20195,7,283.92,0.0,Midwest,WI,Online
O300176,2025-05-28,2025-06-02,C10105,P20081,3,505.72,0.1,South,FL,Partner
O300177,2025-01-12,2025-01-15,C10316,P20077,1,580.4,0.0,Midwest,WI,Online
O300178,2024-11-15,2024-11-22,C10251,P20089,8,194.13,0.0,Northeast,PA,Online
O300179,2023-03-30,2023-04-06,C10110,P20057,8,616.08,0.0,West,WA,Online
O300180,2024-10-27,2024-10-28,C10351,P20062,3,393.08,0.05,South,TX,Online
O300181,2024-08-30,2024-09-04,C10025,P20157,1,17.12,0.15,Northeast,NJ,In-Store
O300182,2025-06-08,2025-06-15,C10035,P20151,8,23.93,0.0,Southwest,UT,Online
O300183,2023-03-10,2023-03-12,C10129,P20120,2,270.29,0.0,Northeast,CT,In-Store
O300184,2025-12-03,2025-12-08,C10020,P20101,7,560.16,0.0,Midwest,OH,Online
O300185,2023-11-04,2023-11-05,C10150,P20039,4,184.17,0.1,West,CA,In-Store
O300186,2023-07-25,2023-07-26,C10091,P20002,8,386.1,0.0,Midwest,MI,In-Store
O300187,2024-06-13,2024-06-15,C10054,P20169,5,171.84,0.05,Northeast,NJ,Online
O300188,2023-01-17,2023-01-18,C10154,P20162,5,395.31,0.0,Southwest,CO,Online
O300189,2025-09-10,2025-09-17,C10084,P20036,6,134.87,0.0,Southwest,NM,Online
O300190,2023-11-21,2023-11-24,C10361,P20133,3,578.13,0.0,Southwest,CO,Partner
O300191,2024-08-28,2024-08-31,C10469,P20147,3,133.02,0.0,West,CA,In-Store
O300192,2025-06-05,2025-06-08,C10326,P20193,3,425.2,0.0,Midwest,MI,In-Store
O300193,2023-03-20,2023-03-21,C10137,P20107,5,157.37,0.0,West,WA,Online
O300194,2024-01-13,2024-01-20,C10460,P20152,4,91.84,0.05,West,OR,In-Store
O300195,2025-02-16,2025-02-20,C10304,P20130,8,74.94,0.0,South,TN,Online
O300196,2025-11-10,2025-11-11,C10015,P20161,7,565.38,0.0,Midwest,WI,Online
O300197,2023-07-28,2023-08-03,C10019,P20152,7,87.47,0.0,Midwest,MI,Online
O300198,2024-05-22,2024-05-25,C10047,P20080,7,139.72,0.0,South,GA,Online
O300199,2025-11-24,2025-11-27,C10245,P20177,8,25.26,0.0,Northeast,MA,Online
O300200,2024-06-04,2024-06-07,C10441,P20188,5,273.03,0.1,Midwest,OH,Online
O300201,2023-03-09,2023-03-11,C10349,P20055,1,458.89,0.0,West,NV,Partner
O300202,2024-08-04,2024-08-08,C10190,P20039,8,184.69,0.0,Northeast,NJ,In-Store
O300203,2023-04-22,2023-04-23,C10423,P20172,1,438.97,0.0,Midwest,MI,Online
O300204,2023-06-05,2023-06-11,C10491,P20128,6,454.95,0.0,Midwest,MI,In-Store
O300205,2024-07-08,2024-07-13,C10185,P20123,3,649.86,0.0,South,FL,Online
O300206,2024-05-08,2024-05-11,C10439,P20085,2,439.3,0.15,West,CA,Online
O300207,2024-07-24,2024-07-26,C10189,P20043,4,139.61,0.0,South,TX,Online
O300208,2024-05-09,2024-05-14,C10097,P20055,9,458.19,0.1,West,CA,Online
O300209,2023-02-05,2023-02-09,C10172,P20095,2,102.67,0.0,South,FL,Online
O300210,2024-09-10,2024-09-14,C10450,P20130,10,73.38,0.05,Northeast,MA,Online
O300211,2024-01-15,2024-01-17,C10134,P20065,6,342.54,0.0,South,NC,Online
O300212,2023-12-27,2024-01-01,C10306,P20077,4,544.4,0.15,Northeast,NJ,Online
O300213,2025-07-25,2025-07-26,C10228,P20183,2,600.13,0.0,Northeast,MA,Online
O300214,2024-07-30,2024-08-03,C10177,P20188,3,245.23,0.15,West,WA,Partner
O300215,2024-09-01,2024-09-05,C10479,P20127,3,180.22,0.05,Southwest,UT,Partner
O300216,2023-06-06,2023-06-08,C10154,P20101,9,556.07,0.2,Southwest,CO,Online
O300217,2025-03-21,2025-03-28,C10232,P20035,10,284.01,0.0,Northeast,MA,In-Store
O300218,2025-07-21,2025-07-22,C10150,P20101,6,541.53,0.15,West,CA,In-Store
O300219,2025-06-08,2025-06-11,C10089,P20132,6,342.47,0.05,Midwest,IL,Online
O300220,2025-12-28,2025-12-29,C10172,P20188,6,236.17,0.0,South,FL,Online
O300221,2024-11-09,2024-11-10,C10144,P20064,8,266.64,0.15,Northeast,MA,In-Store
O300222,2023-10-27,2023-11-01,C10054,P20017,2,475.89,0.05,Northeast,NJ,Online
O300223,2025-08-19,2025-08-24,C10056,P20184,10,94.87,0.05,Northeast,NJ,In-Store
O300224,2024-05-05,2024-05-07,C10338,P20144,8,253.44,0.0,Midwest,IN,Online
O300225,2023-01-08,2023-01-13,C10254,P20082,6,65.54,0.0,South,TX,Online
O300226,2023-04-22,2023-04-29,C10370,P20110,2,162.8,0.1,Northeast,NY,Online
O300227,2025-06-18,2025-06-19,C10464,P20003,7,480.82,0.0,Northeast,NY,Online
O300228,2024-11-25,2024-12-01,C10034,P20057,3,619.51,0.0,Midwest,IN,In-Store
O300229,2024-05-09,2024-05-13,C10180,P20028,8,427.44,0.0,Northeast,CT,In-Store
O300230,2023-03-19,2023-03-24,C10153,P20015,4,181.42,0.2,Southwest,UT,Online
O300231,2024-05-04,2024-05-10,C10286,P20064,6,282.14,0.05,South,FL,Online
O300232,2024-04-14,2024-04-21,C10007,P20066,2,216.54,0.0,South,FL,In-Store
O300233,2025-07-06,2025-07-13,C10275,P20193,6,471.43,0.1,West,CA,In-Store
O300234,2025-05-16,2025-05-18,C10063,P20098,7,372.47,0.0,Southwest,NM,In-Store
O300235,2024-10-29,2024-11-01,C10164,P20107,2,169.23,0.1,Midwest,OH,In-Store
O300236,2024-03-31,2024-04-06,C10044,P20050,10,365.85,0.0,Northeast,PA,In-Store
O300237,2025-02-25,2025-02-26,C10463,P20097,6,294.24,0.1,Southwest,AZ,In-Store
O300238,2024-07-22,2024-07-29,C10216,P20016,7,559.36,0.2,Southwest,UT,Partner
O300239,2025-04-07,2025-04-14,C10011,P20137,7,292.21,0.05,Northeast,NJ,In-Store
O300240,2024-10-29,2024-11-05,C10207,P20068,9,135.99,0.05,Northeast,PA,Online
O300241,2023-04-29,2023-05-06,C10219,P20002,2,395.37,0.0,Northeast,NJ,Online
O300242,2023-01-29,2023-02-02,C10262,P20171,1,388.56,0.1,South,TN,Online
O300243,2024-10-10,2024-10-16,C10330,P20079,2,219.87,0.15,South,NC,Online
O300244,2024-05-04,2024-05-06,C10341,P20037,2,611.67,0.0,Midwest,MI,Partner
O300245,2023-05-06,2023-05-08,C10277,P20078,9,412.87,0.05,West,WA,Online
O300246,2023-11-04,2023-11-07,C10118,P20037,1,614.25,0.15,Midwest,MI,In-Store
O300247,2024-07-17,2024-07-21,C10422,P20087,8,54.12,0.15,Northeast,NY,Online
O300248,2023-12-18,2023-12-24,C10275,P20061,8,452.17,0.1,West,CA,Online
O300249,2025-04-14,2025-04-21,C10067,P20141,2,415.11,0.0,Southwest,CO,Online
O300250,2023-06-03,2023-06-09,C10294,P20057,5,605.42,0.0,Midwest,WI,In-Store
O300251,2025-05-17,2025-05-22,C10142,P20074,5,99.38,0.15,Northeast,NJ,In-Store
O300252,2023-05-05,2023-05-09,C10273,P20168,8,285.15,0.1,West,OR,Online
O300253,2025-06-01,2025-06-05,C10442,P20122,1,295.52,0.2,Northeast,NJ,In-Store
O300254,2023-12-07,2023-12-14,C10193,P20047,3,445.51,0.0,Southwest,NM,Online
O300255,2023-08-29,2023-09-02,C10403,P20149,10,151.26,0.0,Southwest,NM,Online
O300256,2023-10-03,2023-10-05,C10179,P20038,4,250.43,0.05,Midwest,IL,In-Store
O300257,2024-10-21,2024-10-26,C10465,P20001,7,376.08,0.0,Northeast,NY,Online
O300258,2024-07-08,2024-07-13,C10411,P20017,3,498.84,0.1,Southwest,UT,In-Store
O300259,2024-09-05,2024-09-11,C10149,P20031,9,206.36,0.05,South,NC,Online
O300260,2025-04-05,2025-04-12,C10036,P20033,6,486.86,0.05,West,CA,Online
O300261,2025-06-19,2025-06-20,C10421,P20029,3,465.87,0.05,Midwest,WI,Online
O300262,2023-05-05,2023-05-11,C10295,P20167,7,200.01,0.1,Southwest,NM,Online
O300263,2024-03-02,2024-03-04,C10004,P20195,3,291.07,0.0,South,NC,Online
O300264,2024-08-14,2024-08-16,C10262,P20180,8,768.52,0.0,South,TN,Online
O300265,2025-08-21,2025-08-25,C10109,P20117,1,147.79,0.15,Midwest,MI,In-Store
O300266,2024-03-05,2024-03-07,C10320,P20044,3,178.1,0.0,Southwest,UT,Online
O300267,2024-09-22,2024-09-29,C10000,P20040,4,256.28,0.0,West,NV,Online
O300268,2025-05-08,2025-05-15,C10081,P20174,4,284.15,0.0,Southwest,UT,Online
O300269,2025-03-18,2025-03-19,C10389,P20016,2,514.35,0.0,Midwest,MI,Online
O300270,2024-10-13,2024-10-16,C10412,P20003,4,484.91,0.0,Midwest,IN,Online
O300271,2024-10-19,2024-10-24,C10446,P20153,1,24.12,0.1,Northeast,CT,Online
O300272,2024-10-10,2024-10-11,C10026,P20196,5,223.64,0.15,West,WA,Online
O300273,2024-09-20,2024-09-27,C10280,P20154,7,521.26,0.0,Northeast,NY,Online
O300274,2025-06-11,2025-06-15,C10095,P20086,9,534.06,0.1,Northeast,PA,Partner
O300275,2025-04-06,2025-04-13,C10096,P20096,9,607.78,0.1,Northeast,PA,In-Store
O300276,2024-10-06,2024-10-10,C10167,P20196,2,226.59,0.15,Midwest,WI,Online
O300277,2025-06-16,2025-06-22,C10460,P20092,8,379.2,0.0,West,OR,In-Store
O300278,2024-08-18,2024-08-25,C10439,P20130,3,72.24,0.05,West,CA,Online
O300279,2025-12-03,2025-12-05,C10062,P20158,3,427.15,0.1,Midwest,IN,Online
O300280,2024-05-22,2024-05-24,C10165,P20044,1,186.69,0.0,Southwest,UT,In-Store
O300281,2023-10-01,2023-10-08,C10114,P20099,9,309.38,0.0,West,NV,Online
O300282,2025-04-09,2025-04-13,C10250,P20000,2,234.53,0.0,Midwest,IN,Online
O300283,2023-11-01,2023-11-02,C10215,P20139,10,477.82,0.2,Southwest,CO,Online
O300284,2023-12-10,2023-12-12,C10232,P20099,9,332.94,0.05,Northeast,MA,Online
O300285,2024-12-25,2024-12-28,C10045,P20107,7,172.29,0.2,Southwest,AZ,In-Store
O300286,2024-05-28,2024-06-03,C10104,P20174,4,289.89,0.0,South,FL,In-Store
O300287,2025-11-19,2025-11-24,C10114,P20133,1,574.49,0.15,West,NV,Online
O300288,2025-01-23,2025-01-30,C10315,P20165,2,24.79,0.0,West,CA,In-Store
O300289,2023-08-31,2023-09-05,C10367,P20106,4,748.23,0.0,West,OR,In-Store
O300290,2024-08-18,2024-08-23,C10428,P20153,5,23.65,0.0,Southwest,CO,Online
O300291,2023-08-15,2023-08-16,C10276,P20043,4,126.44,0.0,Northeast,CT,Online
O300292,2025-05-13,2025-05-18,C10244,P20054,7,525.45,0.05,Northeast,NY,Online
O300293,2024-09-09,2024-09-11,C10474,P20160,1,245.18,0.0,Midwest,MI,Online
O300294,2023-06-09,2023-06-14,C10108,P20026,9,337.6,0.05,Northeast,CT,Online
O300295,2023-02-04,2023-02-08,C10286,P20098,8,370.02,0.0,South,FL,Online
O300296,2024-11-27,2024-12-02,C10231,P20030,7,174.19,0.0,Midwest,IN,Online
